SCHOOL_YEAR,ST,SCH_NAME,ST_SCHID,NCESSCH,SY_STATUS,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,TITLEI_STATUS,TITLEI_STATUS_TEXT,TEACHERS,DATA_GROUP,FARMS_COUNT
2017-2018,AR,DOVER HIGH SCHOOL,AR-5802000-5802006,050543000257,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,37.16,Free and Reduced-price Lunch Table,164.0
2017-2018,AR,DREW CENTRAL HIGH SCHOOL,AR-2202000-2202005,050547000259,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,33.79,Free and Reduced-price Lunch Table,248.0
2017-2018,AR,DUMAS HIGH SCHOOL,AR-2104000-2104021,050550000262,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,31.48,Free and Reduced-price Lunch Table,102.0
2017-2018,AR,EARLE HIGH SCHOOL,AR-1802000-1802007,050555000266,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,31.42,Free and Reduced-price Lunch Table,160.0
2017-2018,AR,BIGELOW HIGH SCHOOL,AR-5301000-5301002,050558000268,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,28.42,Free and Reduced-price Lunch Table,85.0
2017-2018,AR,EL DORADO HIGH SCHOOL,AR-7001000-7001012,050568000274,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,104.75,Free and Reduced-price Lunch Table,388.0
2017-2018,AR,ELKINS HIGH SCHOOL,AR-7201000-7201002,050576000290,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,28.83,Free and Reduced-price Lunch Table,124.0
2017-2018,AR,ENGLAND HIGH SCHOOL,AR-4302000-4302018,050585000296,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,33.44,Free and Reduced-price Lunch Table,209.0
2017-2018,AR,EUREKA SPRINGS HIGH SCHOOL,AR-0802000-0802007,050597000306,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.14,Free and Reduced-price Lunch Table,66.0
2017-2018,AR,CAMDEN FAIRVIEW HIGH SCHOOL,AR-5204000-5204023,050606000312,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,50.8,Free and Reduced-price Lunch Table,210.0
2017-2018,AR,FARMINGTON CAREER ACADEMIES,AR-7202000-7202703,050609000315,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,43.25,Free and Reduced-price Lunch Table,102.0
2017-2018,AR,FAYETTEVILLE HIGH SCHOOL EAST,AR-7203000-7203020,050612000319,1,Regular School,1,High,TGELGBNOPROG,Title I targeted assistance eligible school-No program,195.57,Free and Reduced-price Lunch Table,532.0
2017-2018,AR,FLIPPIN HIGH SCHOOL,AR-4501000-4501002,050615000331,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.65,Free and Reduced-price Lunch Table,89.0
2017-2018,AR,FOREMAN HIGH SCHOOL,AR-4102000-4102010,050624000338,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.47,Free and Reduced-price Lunch Table,112.0
2017-2018,AR,FORREST CITY HIGH SCHOOL,AR-6201000-6201011,050627000344,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,54.88,Free and Reduced-price Lunch Table,346.0
2017-2018,AR,BELLE POINT ALTERNATIVE CENTER,AR-6601000-6601005,050633000354,1,Alternative School,4,High,SWELIGSWPROG,Title I schoolwide school,16.3,Free and Reduced-price Lunch Table,23.0
2017-2018,AR,NORTHSIDE HIGH SCHOOL,AR-6601000-6601024,050633000367,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,121.49,Free and Reduced-price Lunch Table,813.0
2017-2018,AR,SOUTHSIDE HIGH SCHOOL,AR-6601000-6601025,050633000373,1,Regular School,1,High,TGELGBNOPROG,Title I targeted assistance eligible school-No program,111.56,Free and Reduced-price Lunch Table,378.0
2017-2018,AR,FOUKE HIGH SCHOOL,AR-4603000-4603010,050636000380,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,28.79,Free and Reduced-price Lunch Table,102.0
2017-2018,AR,FOUNTAIN LAKE CHARTER HIGH SCHOOL,AR-2602000-2602703,050642000384,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,40.58,Free and Reduced-price Lunch Table,112.0
2017-2018,AR,GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,050654000390,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,40.8,Free and Reduced-price Lunch Table,185.0
2017-2018,AR,GLEN ROSE HIGH SCHOOL,AR-3002000-3002009,050663000398,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,27.03,Free and Reduced-price Lunch Table,73.0
2017-2018,AR,CENTERPOINT HIGH SCHOOL,AR-5502000-5502010,050669000341,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,44.28,Free and Reduced-price Lunch Table,229.0
2017-2018,AR,GRAVETTE HIGH SCHOOL,AR-0404000-0404022,050684000414,1,Regular School,1,High,TGELGBNOPROG,Title I targeted assistance eligible school-No program,44.53,Free and Reduced-price Lunch Table,152.0
2017-2018,AR,GREEN FOREST HIGH SCHOOL,AR-0803000-0803012,050687000416,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,31.7,Free and Reduced-price Lunch Table,201.0
2017-2018,AR,GREENBRIER HIGH SCHOOL,AR-2303000-2303017,050690000418,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,52.08,Free and Reduced-price Lunch Table,147.0
2017-2018,AR,GREENLAND HIGH SCHOOL,AR-7204000-7204028,050693000420,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.9,Free and Reduced-price Lunch Table,119.0
2017-2018,AR,GREENWOOD HIGH SCHOOL,AR-6602000-6602043,050699000424,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,59.45,Free and Reduced-price Lunch Table,146.0
2017-2018,AR,GURDON HIGH SCHOOL,AR-1003000-1003018,050711000430,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.83,Free and Reduced-price Lunch Table,82.0
2017-2018,AR,GUY-PERKINS HIGH SCHOOL,AR-2304000-2304022,050714000434,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.32,Free and Reduced-price Lunch Table,80.0
2017-2018,AR,HACKETT HIGH SCHOOL,AR-6603000-6603048,050717000435,1,Regular School,1,High,SWELIGTGPROG,Title I schoolwide eligible-Title I targeted assistance program,25.42,Free and Reduced-price Lunch Table,255.0
2017-2018,AR,HARTFORD HIGH SCHOOL,AR-6603000-6603052,050717000457,1,Regular School,1,High,SWELIGTGPROG,Title I schoolwide eligible-Title I targeted assistance program,12.49,Free and Reduced-price Lunch Table,93.0
2017-2018,AR,HAMPTON HIGH SCHOOL,AR-0701000-0701002,050723000441,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.97,Free and Reduced-price Lunch Table,131.0
2017-2018,AR,HARMONY GROVE HIGH SCHOOL,AR-5205000-5205029,050729000443,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,50.72,Free and Reduced-price Lunch Table,120.0
2017-2018,AR,SPARKMAN HIGH SCHOOL,AR-5205000-5205012,050729001016,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,9.31,Free and Reduced-price Lunch Table,34.0
2017-2018,AR,HARMONY GROVE HIGH SCHOOL,AR-6304000-6304030,050732000444,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,23.45,Free and Reduced-price Lunch Table,77.0
2017-2018,AR,HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,AR-5602000-5602703,050735000447,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,31.2,Free and Reduced-price Lunch Table,271.0
2017-2018,AR,HARRISON HIGH SCHOOL,AR-0503000-0503703,050738000452,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,58.67,Free and Reduced-price Lunch Table,189.0
2017-2018,AR,HAZEN HIGH SCHOOL,AR-5903000-5903012,050753000465,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,20.05,Free and Reduced-price Lunch Table,65.0
2017-2018,AR,HEBER SPRINGS HIGH SCHOOL,AR-1202000-1202006,050756000467,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,36.85,Free and Reduced-price Lunch Table,151.0
2017-2018,AR,HECTOR HIGH SCHOOL,AR-5803000-5803010,050762000472,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.6,Free and Reduced-price Lunch Table,214.0
2017-2018,AR,CENTRAL HIGH SCHOOL,AR-5403000-5403019,050768000476,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,56.16,Free and Reduced-price Lunch Table,225.0
2017-2018,AR,HERMITAGE HIGH SCHOOL,AR-0601000-0601007,050771000485,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.68,Free and Reduced-price Lunch Table,8.0
2017-2018,AR,CROSS CNTY HIGH A NEW TECH SCH,AR-1901000-1901703,050774001537,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.03,Free and Reduced-price Lunch Table,135.0
2017-2018,AR,HIGHLAND HIGH SCHOOL,AR-6804000-6804010,050777000491,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,50.15,Free and Reduced-price Lunch Table,193.0
2017-2018,AR,HOPE HIGH SCHOOL,AR-2903000-2903012,050784000498,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,59.57,Free and Reduced-price Lunch Table,403.0
2017-2018,AR,HORATIO HIGH SCHOOL,AR-6703000-6703013,050786000502,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,39.57,Free and Reduced-price Lunch Table,146.0
2017-2018,AR,HOT SPRINGS WORLD CLASS HIGH SCHOOL,AR-2603000-2603703,050789000509,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,72.9,Free and Reduced-price Lunch Table,595.0
2017-2018,AR,JESSIEVILLE HIGH SCHOOL,AR-2604000-2604030,050792000516,1,Regular School,1,High,SWELIGTGPROG,Title I schoolwide eligible-Title I targeted assistance program,28.66,Free and Reduced-price Lunch Table,217.0
2017-2018,AR,HOXIE HIGH SCHOOL,AR-3804000-3804010,050799000518,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,43.77,Free and Reduced-price Lunch Table,272.0
2017-2018,AR,THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,AR-1803000-1803703,050804001594,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,74.49,Free and Reduced-price Lunch Table,667.0
2017-2018,AR,HUNTSVILLE HIGH SCHOOL,AR-4401000-4401003,050813000538,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,46.98,Free and Reduced-price Lunch Table,228.0
2017-2018,AR,ST. PAUL HIGH SCHOOL,AR-4401000-4401012,050813001035,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,13.68,Free and Reduced-price Lunch Table,51.0
2017-2018,AR,JASPER HIGH SCHOOL,AR-5102000-5102006,050824000545,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.12,Free and Reduced-price Lunch Table,103.0
2017-2018,AR,KINGSTON HIGH SCHOOL,AR-5102000-5102008,050824000564,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,14.05,Free and Reduced-price Lunch Table,45.0
2017-2018,AR,OARK HIGH SCHOOL,AR-5102000-5102024,050824000811,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,12.43,Free and Reduced-price Lunch Table,49.0
2017-2018,AR,THE ACADEMIES AT JONESBORO HIGH SCHOOL,AR-1608000-1608703,050828000551,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,88.5,Free and Reduced-price Lunch Table,890.0
2017-2018,AR,JUNCTION CITY HIGH SCHOOL,AR-7003000-7003028,050834000558,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,32.57,Free and Reduced-price Lunch Table,128.0
2017-2018,AR,RIVERVIEW HIGH SCHOOL,AR-7307000-7307032,050840000242,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,38.27,Free and Reduced-price Lunch Table,146.0
2017-2018,AR,KIRBY HIGH SCHOOL,AR-5503000-5503011,050849000566,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,23.3,Free and Reduced-price Lunch Table,61.0
2017-2018,AR,LAKE HAMILTON HIGH SCHOOL,AR-2605000-2605034,050861000575,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,68.17,Free and Reduced-price Lunch Table,306.0
2017-2018,AR,LAKESIDE HIGH SCHOOL,AR-0903000-0903018,050864000578,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,25.17,Free and Reduced-price Lunch Table,128.0
2017-2018,AR,LAKESIDE HIGH SCHOOL,AR-2606000-2606044,050867001525,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,90.46,Free and Reduced-price Lunch Table,252.0
2017-2018,AR,LAMAR HIGH SCHOOL,AR-3604000-3604019,050870000585,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,37.29,Free and Reduced-price Lunch Table,191.0
2017-2018,AR,LAVACA HIGH SCHOOL,AR-6605000-6605057,050873000587,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,25.98,Free and Reduced-price Lunch Table,69.0
2017-2018,AR,LINCOLN NEW TECH HIGH SCHOOL,AR-7205000-7205706,050894001569,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,40.71,Free and Reduced-price Lunch Table,215.0
2017-2018,AR,CENTRAL HIGH SCHOOL,AR-6001000-6001001,050900000607,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,163.55,Free and Reduced-price Lunch Table,430.0
2017-2018,AR,HALL HIGH SCHOOL,AR-6001000-6001002,050900000616,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,105.9,Free and Reduced-price Lunch Table,403.0
2017-2018,AR,PARKVIEW MAGNET HIGH SCHOOL,AR-6001000-6001005,050900000627,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,91.68,Free and Reduced-price Lunch Table,463.0
2017-2018,AR,J.A. FAIR HIGH SCHOOL,AR-6001000-6001063,050900001389,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,79.15,Free and Reduced-price Lunch Table,274.0
2017-2018,AR,MCCLELLAN MAGNET HIGH SCHOOL,AR-6001000-6001064,050900001390,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,76.9,Free and Reduced-price Lunch Table,260.0
2017-2018,AR,LONOKE HIGH SCHOOL,AR-4301000-4301029,050906000642,1,Regular School,1,High,SWELIGTGPROG,Title I schoolwide eligible-Title I targeted assistance program,48.38,Free and Reduced-price Lunch Table,228.0
2017-2018,AR,J.D. LEFTWICH HIGH SCHOOL,AR-4202000-4202008,050915000650,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.55,Free and Reduced-price Lunch Table,114.0
2017-2018,AR,MAGNET COVE HIGH SCHOOL,AR-3003000-3003014,050919000652,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,31.01,Free and Reduced-price Lunch Table,93.0
2017-2018,AR,MALVERN HIGH SCHOOL,AR-3004000-3004023,050924001372,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,49.37,Free and Reduced-price Lunch Table,174.0
2017-2018,AR,MAMMOTH SPRING HIGH SCHOOL,AR-2501000-2501002,050927000666,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.71,Free and Reduced-price Lunch Table,78.0
2017-2018,AR,MANSFIELD HIGH SCHOOL,AR-6606000-6606062,050933001036,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,26.78,Free and Reduced-price Lunch Table,100.0
2017-2018,AR,LEE HIGH SCHOOL,AR-3904000-3904011,050936000675,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,38.06,Free and Reduced-price Lunch Table,170.0
2017-2018,AR,MARION HIGH SCHOOL,AR-1804000-1804015,050939000682,1,Regular School,1,High,SWELIGTGPROG,Title I schoolwide eligible-Title I targeted assistance program,65.43,Free and Reduced-price Lunch Table,365.0
2017-2018,AR,MARKED TREE HIGH SCHOOL,AR-5604000-5604017,050942000687,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,16.57,Free and Reduced-price Lunch Table,67.0
2017-2018,AR,MARSHALL HIGH SCHOOL,AR-6502000-6502006,050948000693,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,38.07,Free and Reduced-price Lunch Table,169.0
2017-2018,AR,MARVELL HIGH SCHOOL,AR-5404000-5404032,050951000694,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.54,Free and Reduced-price Lunch Table,55.0
2017-2018,AR,MAYFLOWER HIGH SCHOOL,AR-2305000-2305026,050954000698,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,35.28,Free and Reduced-price Lunch Table,118.0
2017-2018,AR,MAYNARD HIGH SCHOOL,AR-6102000-6102006,050957000700,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.53,Free and Reduced-price Lunch Table,154.0
2017-2018,AR,MCCRORY HIGH SCHOOL,AR-7403000-7403013,050960000702,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.19,Free and Reduced-price Lunch Table,115.0
2017-2018,AR,MCGEHEE HIGH SCHOOL,AR-2105000-2105028,050963000705,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,54.13,Free and Reduced-price Lunch Table,318.0
2017-2018,AR,MELBOURNE HIGH SCHOOL,AR-3302000-3302006,050972000711,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,34.5,Free and Reduced-price Lunch Table,149.0
2017-2018,AR,MENA HIGH SCHOOL,AR-5703000-5703012,050975000713,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,40.77,Free and Reduced-price Lunch Table,172.0
2017-2018,AR,MINERAL SPRINGS HIGH SCHOOL,AR-3104000-3104006,050978000717,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,25.01,Free and Reduced-price Lunch Table,105.0
2017-2018,AR,MONTICELLO HIGH SCHOOL,AR-2203000-2203012,050984000721,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,53.62,Free and Reduced-price Lunch Table,161.0
2017-2018,AR,MOUNT IDA HIGH SCHOOL,AR-4902000-4902007,050999000733,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.06,Free and Reduced-price Lunch Table,113.0
2017-2018,AR,MT. VERNON/ENOLA HIGH SCHOOL,AR-2306000-2306030,051008000739,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.98,Free and Reduced-price Lunch Table,82.0
2017-2018,AR,MOUNTAIN PINE HIGH SCHOOL,AR-2607000-2607047,051017000746,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.16,Free and Reduced-price Lunch Table,104.0
2017-2018,AR,MOUNTAIN VIEW HIGH SCHOOL,AR-6901000-6901007,051020000749,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,30.66,Free and Reduced-price Lunch Table,86.0
2017-2018,AR,RURAL SPECIAL HIGH SCHOOL,AR-6901000-6901012,051020000965,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,11.92,Free and Reduced-price Lunch Table,41.0
2017-2018,AR,TIMBO HIGH SCHOOL,AR-6901000-6901016,051020001087,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,9.94,Free and Reduced-price Lunch Table,45.0
2017-2018,AR,MOUNTAINBURG HIGH SCHOOL,AR-1703000-1703013,051026000751,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,17.31,Free and Reduced-price Lunch Table,145.0
2017-2018,AR,MULBERRY HIGH SCHOOL,AR-1704000-1704017,051029000753,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,11.94,Free and Reduced-price Lunch Table,65.0
2017-2018,AR,MURFREESBORO HIGH SCHOOL,AR-5504000-5504015,051032000755,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,31.11,Free and Reduced-price Lunch Table,152.0
2017-2018,AR,NASHVILLE HIGH SCHOOL,AR-3105000-3105011,051038000757,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,33.76,Free and Reduced-price Lunch Table,174.0
2017-2018,AR,NEMO VISTA HIGH SCHOOL,AR-1503000-1503017,051041000760,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,16.02,Free and Reduced-price Lunch Table,52.0
2017-2018,AR,NETTLETON HIGH SCHOOL,AR-1611000-1611042,051044000762,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,61.78,Free and Reduced-price Lunch Table,364.0
2017-2018,AR,NORFORK HIGH SCHOOL,AR-0304000-0304022,051056000774,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.57,Free and Reduced-price Lunch Table,127.0
2017-2018,AR,NORTH LITTLE ROCK HIGH SCHOOL,AR-6002000-6002082,051068001566,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,155.71,Free and Reduced-price Lunch Table,595.0
2017-2018,AR,OMAHA HIGH SCHOOL,AR-0504000-0504023,051092000821,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.88,Free and Reduced-price Lunch Table,81.0
2017-2018,AR,OSCEOLA HIGH SCHOOL,AR-4713000-4713051,051095000825,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,33.2,Free and Reduced-price Lunch Table,193.0
2017-2018,AR,OUACHITA HIGH SCHOOL,AR-3005000-3005030,051098000828,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,19.62,Free and Reduced-price Lunch Table,70.0
2017-2018,AR,OZARK HIGH SCHOOL,AR-2404000-2404017,051101000830,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,27.96,Free and Reduced-price Lunch Table,93.0
2017-2018,AR,PANGBURN HIGH SCHOOL,AR-7309000-7309039,051107000835,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,34.61,Free and Reduced-price Lunch Table,106.0
2017-2018,AR,PARIS HIGH SCHOOL,AR-4203000-4203012,051113000837,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.02,Free and Reduced-price Lunch Table,238.0
2017-2018,AR,PARKERS CHAPEL HIGH SCHOOL,AR-7007000-7007040,051122000841,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,28.85,Free and Reduced-price Lunch Table,59.0
2017-2018,AR,PERRYVILLE HIGH SCHOOL,AR-5303000-5303011,051134000850,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,37.52,Free and Reduced-price Lunch Table,155.0
2017-2018,AR,PIGGOTT HIGH SCHOOL,AR-1104000-1104018,051137000852,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,36.85,Free and Reduced-price Lunch Table,152.0
2017-2018,AR,POCAHONTAS HIGH SCHOOL,AR-6103000-6103010,051161000884,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.25,Free and Reduced-price Lunch Table,130.0
2017-2018,AR,POTTSVILLE HIGH SCHOOL,AR-5804000-5804014,051170000891,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,30.68,Free and Reduced-price Lunch Table,96.0
2017-2018,AR,POYEN HIGH SCHOOL,AR-2703000-2703010,051173000893,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.27,Free and Reduced-price Lunch Table,77.0
2017-2018,AR,PRAIRIE GROVE HIGH SCHOOL,AR-7206000-7206703,051176000895,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,45.61,Free and Reduced-price Lunch Table,164.0
2017-2018,AR,PRESCOTT HIGH SCHOOL,AR-5006000-5006024,051182000899,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,41.8,Free and Reduced-price Lunch Table,309.0
2017-2018,AR,JOE T. ROBINSON HIGH SCHOOL,AR-6003000-6003127,051185000923,1,Regular School,1,High,TGELGBNOPROG,Title I targeted assistance eligible school-No program,44.58,Free and Reduced-price Lunch Table,109.0
2017-2018,AR,SYLVAN HILLS HIGH SCHOOL,AR-6003000-6003128,051185000941,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,92.68,Free and Reduced-price Lunch Table,255.0
2017-2018,AR,WILBUR D. MILLS HIGH SCHOOL,AR-6003000-6003125,051185000945,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,53.19,Free and Reduced-price Lunch Table,169.0
2017-2018,AR,MAUMELLE HIGH SCHOOL,AR-6003000-6003151,051185001559,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,70.35,Free and Reduced-price Lunch Table,156.0
2017-2018,AR,QUITMAN HIGH SCHOOL,AR-1203000-1203011,051188000947,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.17,Free and Reduced-price Lunch Table,74.0
2017-2018,AR,ROGERS HIGH SCHOOL,AR-0405000-0405048,051197000958,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,117.97,Free and Reduced-price Lunch Table,806.0
2017-2018,AR,ROGERS HERITAGE HIGH SCHOOL,AR-0405000-0405052,051197001483,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,121.8,Free and Reduced-price Lunch Table,874.0
2017-2018,AR,ROGERS NEW TECHNOLOGY HIGH SCHOOL,AR-0405000-0405703,051197001586,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,39.14,Free and Reduced-price Lunch Table,301.0
2017-2018,AR,ROSE BUD HIGH SCHOOL,AR-7310000-7310043,051200000962,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,33.3,Free and Reduced-price Lunch Table,124.0
2017-2018,AR,RUSSELLVILLE HIGH SCHOOL,AR-5805000-5805024,051206000971,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,92.85,Free and Reduced-price Lunch Table,373.0
2017-2018,AR,SALEM HIGH SCHOOL,AR-2502000-2502006,051209000975,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,28.61,Free and Reduced-price Lunch Table,129.0
2017-2018,AR,SCRANTON HIGH SCHOOL,AR-4204000-4204019,051218000981,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.85,Free and Reduced-price Lunch Table,55.0
2017-2018,AR,SEARCY HIGH SCHOOL,AR-7311000-7311052,051221000985,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,78.21,Free and Reduced-price Lunch Table,261.0
2017-2018,AR,SHIRLEY HIGH SCHOOL,AR-7104000-7104015,051242001001,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,17.76,Free and Reduced-price Lunch Table,118.0
2017-2018,AR,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,AR-0406000-0406703,051245001003,1,Regular School,1,High,SWELIGNOPROG,Title I schoolwide eligible school-No program,90.34,Free and Reduced-price Lunch Table,443.0
2017-2018,AR,SLOAN-HENDRIX HIGH SCHOOL,AR-3806000-3806019,051248001007,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,21.42,Free and Reduced-price Lunch Table,125.0
2017-2018,AR,SMACKOVER HIGH SCHOOL,AR-7008000-7008045,051251001009,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,42.91,Free and Reduced-price Lunch Table,92.0
